"x","y_obs","weight","y_calc","y_bkg"
25.13,50.0,0.02,48.585,43.171
25.146,46.0,0.02174,48.854,43.167
25.162,53.0,0.01887,49.146,43.163
25.178,53.0,0.01887,49.463,43.16
25.194,58.0,0.01724,49.808,43.156
25.21,63.0,0.01587,50.185,43.152
25.226,60.0,0.01667,50.598,43.148
25.242,60.0,0.01667,51.051,43.145
25.258,61.0,0.01639,51.55,43.141
25.274,58.0,0.01724,52.101,43.137
25.29,63.0,0.01587,52.696,43.134
25.306,76.0,0.01316,53.375,43.13
25.322,82.0,0.0122,54.134,43.126
25.338,78.0,0.01282,54.974,43.122
25.354,72.0,0.01389,55.932,43.119
25.37,81.0,0.01235,57.017,43.115
25.386,64.0,0.01562,58.251,43.111
25.402,60.0,0.01667,59.664,43.107
25.418,69.0,0.01449,61.292,43.104
25.434,72.0,0.01389,63.181,43.1
25.45,62.0,0.01613,65.387,43.096
25.466,61.0,0.01639,67.989,43.093
25.482,71.0,0.01408,71.085,43.089
25.498,86.0,0.01163,74.811,43.085
25.514,93.0,0.01075,79.37,43.081
25.53,100.0,0.01,85.102,43.078
25.546,83.0,0.01205,92.714,43.074
25.562,121.0,0.00826,103.851,43.07
